run_accession	sample_accession	sample_alias	sample_title	experiment_title	library_layout	study_accession	study_title	center_name	fastq_ftp	collection_date
SRR397331	SAMN00771186	A04444	Normal colon epithelium - Subject 0005-071	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04444	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397331/SRR397331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397331/SRR397331_2.fastq.gz	
SRR397332	SAMN00771187	A04445	Normal colon epithelium - Subject 0005-073	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04445	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397332/SRR397332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397332/SRR397332_2.fastq.gz	
SRR397008	SAMN00771127	A02734	Normal colon epithelium - Subject 0005-033	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02734	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397008/SRR397008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397008/SRR397008_2.fastq.gz	
SRR397335	SAMN00771190	A04448	Normal colon epithelium - Subject 0005-076	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04448	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397335/SRR397335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397335/SRR397335_2.fastq.gz	
SRR397012	SAMN00771131	A02738	Normal colon epithelium - Subject 0005-037	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02738	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397012/SRR397012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397012/SRR397012_2.fastq.gz	
SRR397338	SAMN00771193	A04452	Normal colon epithelium - Subject 0005-083	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04452	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397338/SRR397338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397338/SRR397338_2.fastq.gz	
SRR397341	SAMN00771196	A04455	Normal colon epithelium - Subject 0005-087	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04455	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397341/SRR397341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397341/SRR397341_2.fastq.gz	
SRR397014	SAMN00771133	A02740	Normal colon epithelium - Subject 0005-042	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02740	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397014/SRR397014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397014/SRR397014_2.fastq.gz	
SRR397343	SAMN00771198	A04457	Normal colon epithelium - Subject 0005-089	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04457	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397343/SRR397343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397343/SRR397343_2.fastq.gz	
SRR397015	SAMN00771134	A02741	Normal colon epithelium - Subject 0005-043	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02741	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397015/SRR397015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397015/SRR397015_2.fastq.gz	
SRR397351	SAMN00771206	A04465	Normal colon epithelium - Subject 0005-097	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04465	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397351/SRR397351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397351/SRR397351_2.fastq.gz	
SRR397019	SAMN00771138	A02745	Normal colon epithelium - Subject 0005-050	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02745	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397019/SRR397019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397019/SRR397019_2.fastq.gz	
SRR397354	SAMN00771209	A04468	Normal colon epithelium - Subject 0005-100	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04468	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397354/SRR397354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397354/SRR397354_2.fastq.gz	
SRR397020	SAMN00771139	A02746	Normal colon epithelium - Subject 0005-052	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02746	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397020/SRR397020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397020/SRR397020_2.fastq.gz	
SRR397359	SAMN00771154	A04411	Colorectal tumour - Subject 0005-069	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04411	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397359/SRR397359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397359/SRR397359_2.fastq.gz	
SRR397025	SAMN00771144	A02751	Normal colon epithelium - Subject 0005-058	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02751	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397025/SRR397025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397025/SRR397025_2.fastq.gz	
