run_accession	fastq_ftp	fastq_md5	library_layout
SRR396983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396983/SRR396983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396983/SRR396983_2.fastq.gz	dcec9178ae462e59d488571aea654a50;b6fd4a60ceb8ed01758619e6e85ce673	PAIRED
SRR396998	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396998/SRR396998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396998/SRR396998_2.fastq.gz	f5249ebdd1bea3de7909750855947a3d;44d49bc3526ebe50821f894aba5bbc68	PAIRED
SRR396999	ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396999/SRR396999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR396/SRR396999/SRR396999_2.fastq.gz	754f99afaa6983c3fde13a23bbf29b88;e8a118a765d89612ea6462db3dc30a77	PAIRED
SRR397000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397000/SRR397000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397000/SRR397000_2.fastq.gz	4f4bdf3a0e115f4628dfda26ac003954;f5c0ed9084feee1d49daaf896a4296e6	PAIRED
SRR397003	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397003/SRR397003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397003/SRR397003_2.fastq.gz	b105b13c79fe6a50db516487b1865893;0ef97551fd5d7f7e22e10215902d2274	PAIRED
SRR397005	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397005/SRR397005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397005/SRR397005_2.fastq.gz	797373c1af717937daec8afd5223cec8;0e8a4c0aabc4b7f052124fc31bc62126	PAIRED
SRR397006	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397006/SRR397006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397006/SRR397006_2.fastq.gz	20e29339be1c9b1e7bd46adf72a8e1ac;134d9b3fc12cacd34b1613693210c491	PAIRED
SRR397009	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397009/SRR397009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397009/SRR397009_2.fastq.gz	75ed5190e9332f14483b3789aaa5a730;475d1e840e43ea92399e46f8e45ba8aa	PAIRED
SRR397018	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397018/SRR397018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397018/SRR397018_2.fastq.gz	7015fed3464f741246b3571bf393634f;d69abf1863b4958b7e21d8ddf0869632	PAIRED
SRR397021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397021/SRR397021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397021/SRR397021_2.fastq.gz	b063de27de4ecf20e10ef85143882efb;6de228ca92211f08eb58568874de0a14	PAIRED
SRR397023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397023/SRR397023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397023/SRR397023_2.fastq.gz	6c4ac9bf97c83753e02c8b8b996f8148;a06e0c4e3773c589b052ad5df0975415	PAIRED
SRR397026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397026/SRR397026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397026/SRR397026_2.fastq.gz	655f98d03f368a0c6be3c667a0cdf720;9694f68ca66a3d71fc82d748539fad64	PAIRED
SRR397030	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397030/SRR397030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397030/SRR397030_2.fastq.gz	91ea9f4cc687184b5b9309d5c74c86d8;326990bab0d68c4dd60ddbd3a81fe563	PAIRED
SRR397031	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397031/SRR397031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397031/SRR397031_2.fastq.gz	4997b0644700a158053e8271b0aeb088;b87824665e908deb1a847a9ccee8e7f6	PAIRED
SRR397032	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397032/SRR397032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397032/SRR397032_2.fastq.gz	4e50e15b58dd5a6175a8894b1ef76d92;b21193ecf7a0ff1f9ef17d60eb3528f4	PAIRED
SRR397033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397033/SRR397033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397033/SRR397033_2.fastq.gz	f1783cef4b45169c089babcf1d2d2ae1;a2d4ecbdb5585cc1624f59e28ccd49ff	PAIRED
SRR397036	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397036/SRR397036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397036/SRR397036_2.fastq.gz	2fdaefa37afbf700701bad3921e4d8ed;d62c869ad276ca593241b36ca5ad713a	PAIRED
SRR397044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397044/SRR397044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397044/SRR397044_2.fastq.gz	1284f480ce6d4176afd4909bdcdcb7fb;ec807fb37a231a05629300854f916d76	PAIRED
SRR397046	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397046/SRR397046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397046/SRR397046_2.fastq.gz	78c56b8090f447b6d54e999f7f612db8;1cf06fa7b05a15e93e62fee3b2c7524e	PAIRED
SRR397048	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397048/SRR397048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397048/SRR397048_2.fastq.gz	af65958fe2f35f39f445fdae95d5f009;ad34438b039b076d42834f23520750f7	PAIRED
SRR397049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397049/SRR397049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397049/SRR397049_2.fastq.gz	c64566dde47ae95b9f8ea135981efe7b;d474ca3fdeef0c372d01dacd0b15d291	PAIRED
SRR397051	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397051/SRR397051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397051/SRR397051_2.fastq.gz	6473b0aafd77f50f8328a52766592342;b931fa74bbb73c26b02bb1815c5deff2	PAIRED
SRR397055	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397055/SRR397055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397055/SRR397055_2.fastq.gz	54216e88290eac25eb2b5d6d8cffc0d5;b49b2595fda35b041d6ec2ddb6370824	PAIRED
SRR397056	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397056/SRR397056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397056/SRR397056_2.fastq.gz	3b4aebe36803dc11d03091d72436c99f;666e0fed8940ec0e5035121f85299f9f	PAIRED
SRR397059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397059/SRR397059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397059/SRR397059_2.fastq.gz	0db1b7eaefada3f5e0472d5973ae3eec;6edbac93247837891fb3e2b46829453b	PAIRED
SRR397060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397060/SRR397060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397060/SRR397060_2.fastq.gz	2dad818dadbe636e35346a68492ed52d;b2bed43ab2e869fea405b71b10cbdc94	PAIRED
